"","tconst","title","year","runtime","genres","averageRating","numVotes","average_age"
"25690","tt0119780","Niagara, Niagara","1997","93","Drama,Romance",7.1,1471,42.6666666666667
"25693","tt0119783","Night Falls on Manhattan","1996","113","Crime,Drama",6.6,5887,51.3333333333333
"25696","tt0119784","The Night Flier","1997","94","Fantasy,Horror,Mystery",6,8647,42
"25698","tt0119791","Nightwatch","1997","101","Drama,Horror,Thriller",6.2,17935,41
"25700","tt0119792","Nil by Mouth","1997","128","Drama",7.4,7945,32.5
"25702","tt0119794","Nirvana","1997","113","Action,Drama,Sci-Fi",6.1,5889,40
"25705","tt0119802","Monument Ave.","1998","93","Crime,Drama,Thriller",6.6,1474,36.5
"25709","tt0119807","Nothing to Lose","1997","98","Action,Adventure,Comedy",6.7,41249,37
"25713","tt0119809","Nowhere","1997","82","Comedy,Drama,Sci-Fi",6.4,7685,22.5
"25715","tt0119815","Four Days in September","1997","110","Action,Drama,History",7.4,4190,48.6666666666667
"25718","tt0119820","Ogifta par ...en film som skiljer sig","1997","90","Comedy,Drama,Romance",5.8,1162,42
"25720","tt0119822","As Good as It Gets","1997","139","Comedy,Drama,Romance",7.7,253903,41
"25723","tt0119828","Same Old Song","1997","120","Comedy,Drama,Musical",7.3,3688,50
"25726","tt0119832","One Night Stand","1997","102","Drama,Romance",5.8,6203,36.5
"25728","tt0119842","Orphans","1998","101","Comedy,Drama",7.1,1517,36.5
"25730","tt0119843","Oscar and Lucinda","1997","132","Drama,Romance",6.7,6189,42.6666666666667
"25733","tt0119848","Out to Sea","1997","106","Comedy,Romance",6.1,7332,74.5
"25735","tt0119861","Pardes","1997","191","Drama,Musical,Romance",7.1,12629,40.6666666666667
"25738","tt0119863","Le pari","1997","100","Comedy",6.2,3092,38.5
"25740","tt0119872","The Peacekeeper","1997","98","Action",5.1,2356,50.75
"25744","tt0119874","The Peacemaker","1997","124","Action,Thriller",5.9,51091,40.3333333333333
"25747","tt0119879","Dance with the Devil","1997","126","Action,Crime,Horror",6.3,7390,23.5
"25749","tt0119887","The Pest","1997","84","Comedy",5,7437,36.25
"25753","tt0119889","The Phantom of the Opera","1998","99","Horror",4.2,4860,33
"25755","tt0119891","Phantoms","1998","96","Horror,Sci-Fi,Thriller",5.4,18354,48.5
"25757","tt0119892","Phoenix","1998","107","Crime,Drama",6.4,3354,38.5
"25761","tt0119893","Photographing Fairies","1997","106","Drama,Fantasy,Mystery",6.9,2500,41
"25763","tt0119896","Picture Perfect","1997","105","Comedy,Drama,Romance",5.5,17844,33
"25765","tt0119899","Pippi Longstocking","1997","76","Adventure,Animation,Comedy",5.3,1140,48
"25766","tt0119901","Place Vendôme","1998","117","Crime,Drama",6.5,1881,51
"25768","tt0119905","The Players Club","1998","104","Comedy,Drama",5.8,5828,64
"25769","tt0119906","Playing God","1997","94","Crime,Drama,Thriller",5.6,6959,39.6666666666667
"25772","tt0119910","Polish Wedding","1998","105","Comedy,Drama,Romance",5.4,2983,48
"25773","tt0119925","The Postman","1997","177","Action,Adventure,Drama",6,64313,35.6666666666667
"25776","tt0119926","Postman Blues","1997","110","Action,Comedy,Crime",7.5,1495,36.6666666666667
"25779","tt0119932","Praxis Dr. Hasenbein","1997","94","Comedy",6.9,1735,51.25
"25783","tt0119934","Without Limits","1998","117","Biography,Drama,Sport",7.2,6299,39
"25786","tt0119935","Preaching to the Perverted","1997","100","Comedy,Drama",6,1022,45
"25788","tt0119937","Prefontaine","1997","106","Biography,Drama,Romance",6.8,6508,38.25
"25792","tt0119942","Primary Colors","1998","143","Comedy,Drama",6.7,26046,55.5
"25794","tt0119947","Prince Valiant","1997","91","Adventure,Fantasy,Romance",5.1,1926,41
"25797","tt0119951","Private Parts","1997","109","Biography,Comedy,Drama",6.8,32184,42
"25798","tt0119978","The Rainmaker","1997","135","Crime,Drama,Thriller",7.1,55274,46.3333333333333
"25801","tt0119981","Hikers","1997","95","Comedy,Romance",5.9,1593,37
"25803","tt0119987","The Real Blonde","1997","105","Comedy,Drama,Romance",6,3694,38
"25805","tt0119989","Shadow of Doubt","1998","103","Mystery,Thriller",5.2,1560,45
"25808","tt0119994","Red Corner","1997","122","Crime,Drama,Thriller",6.3,14993,43
"25810","tt0120001","Behind the Lines","1997","114","Biography,Drama,History",7.1,2107,35
"25814","tt0120004","The Relic","1997","110","Horror,Mystery,Sci-Fi",5.7,22504,56
"25816","tt0120008","The Replacement Killers","1998","87","Action,Crime,Thriller",6.1,25593,49.6666666666667
"25819","tt0120013","The Revengers' Comedies","1998","86","Comedy,Romance",6.2,1549,43
"25821","tt0120018","The Swindle","1997","104","Comedy,Crime,Thriller",6.6,1921,54
"25824","tt0120026","Finding Graceland","1998","97","Biography,Drama",6.4,1795,44
"25826","tt0120029","RocketMan","1997","95","Comedy,Family,Sci-Fi",5.9,8434,44
"25829","tt0120032","Romy and Michele's High School Reunion","1997","92","Comedy",6.2,38887,32
"25830","tt0120034","Roseanna's Grave","1997","98","Comedy,Drama,Romance",7.2,3084,42
"25832","tt0120036","Rosewood","1997","140","Action,Drama,History",7.2,6916,44.25
"25836","tt0120037","Rossini","1997","114","Comedy",6.4,1969,56.6666666666667
"25839","tt0120042","Running Time","1997","70","Crime,Thriller",7.1,1262,42.6666666666667
"25842","tt0120051","Safe House","1998","112","Thriller",7.1,2264,60
"25844","tt0120053","The Saint","1997","116","Action,Adventure,Romance",6.2,58045,40.3333333333333
"25847","tt0120066","Sara","1997","110","Action,Crime,Drama",6.5,2026,45
"25850","tt0120070","Savior","1998","103","Drama,War",7.3,9605,51
"25852","tt0120082","Scream 2","1997","120","Horror,Mystery",6.2,144289,26
"25853","tt0120088","Wicked","1998","88","Thriller",5.2,2757,39
"25854","tt0120090","Secrets of the Heart","1997","105","Drama",7.3,1603,35
"25855","tt0120094","Selena","1997","127","Biography,Drama,Music",6.7,22336,38.5
"25857","tt0120100","The Serpent's Kiss","1997","104","Drama",5.8,1464,39
"25860","tt0120102","Seven Years in Tibet","1997","136","Adventure,Biography,Drama",7.1,112756,42.25
"25864","tt0120107","Shadow Conspiracy","1997","103","Action,Thriller",4.9,4177,46.3333333333333
"25867","tt0120108","The Proposition","1998","110","Drama,Romance",6.2,1982,51.3333333333333
"25870","tt0120112","She's So Lovely","1997","100","Drama,Romance",5.9,7657,38.6666666666667
"25873","tt0120118","Shiloh","1996","93","Drama,Family",6.4,2623,41
