"","tconst","title","year","runtime","genres","averageRating","numVotes","average_age"
"5845","tt0050974","Sissi: The Fateful Years of an Empress","1957","109","Drama,History,Romance",6.6,4336,42.5
"5847","tt0050976","The Seventh Seal","1957","96","Drama,Fantasy",8.2,143355,40.5
"5851","tt0050985","Big Time Operators","1957","80","Comedy",7.1,1566,33.5
"5853","tt0050986","Wild Strawberries","1957","91","Drama,Romance",8.2,84137,63
"5855","tt0050987","The Snow Queen","1957","68","Adventure,Animation,Family",7.7,1891,55
"5856","tt0051003","The Spirit of St. Louis","1957","135","Adventure,Biography,Drama",7.2,6709,42.6666666666667
"5859","tt0051028","The Sun Also Rises","1957","130","Drama",6.3,1883,43.6666666666667
"5862","tt0051036","Sweet Smell of Success","1957","96","Drama,Film-Noir",8.1,24400,34
"5865","tt0051047","The Tall T","1957","78","Romance,Thriller,Western",7.4,3880,48.6666666666667
"5868","tt0051051","Tammy and the Bachelor","1957","89","Comedy,Romance",7,1991,47
"5870","tt0051055","The Tarnished Angels","1957","91","Drama",7.2,2770,39
"5873","tt0051077","The Three Faces of Eve","1957","91","Drama,Mystery",7.2,6624,53.6666666666667
"5876","tt0051087","The Tin Star","1957","93","Western",7.4,4425,30
"5879","tt0051093","Tokyo Twilight","1957","140","Drama",8.3,2796,53
"5880","tt0051114","The True Story of Jesse James","1957","92","Action,Biography,Crime",6.3,1047,29
"5882","tt0051128","The Undead","1957","71","Fantasy,Horror",4,1492,30
"5884","tt0051134","The Unearthly","1957","73","Horror,Sci-Fi",2.8,1418,42.5
"5886","tt0051141","Until They Sail","1957","94","Drama,Romance,War",6.6,1105,32
"5887","tt0051196","Will Success Spoil Rock Hunter?","1957","93","Comedy,Romance",7.1,2786,37
"5888","tt0051198","The Wings of Eagles","1957","110","Biography,Drama,War",6.8,3345,48.6666666666667
"5891","tt0051201","Witness for the Prosecution","1957","116","Crime,Drama,Mystery",8.4,92298,50.5
"5893","tt0051207","The Wrong Man","1956","105","Drama,Film-Noir",7.5,22948,45.6666666666667
"5896","tt0051221","Zero Hour!","1957","81","Action,Adventure,Drama",6.6,1257,41
"5899","tt0051337","The 7th Voyage of Sinbad","1958","88","Action,Adventure,Family",7.1,10469,32.6666666666667
"5902","tt0051365","The Magician","1958","101","Comedy,Drama",7.7,7826,39
"5904","tt0051378","Elevator to the Gallows","1958","91","Crime,Drama,Thriller",8,18236,24.5
"5906","tt0051380","Attack of the 50 Foot Woman","1958","65","Horror,Sci-Fi",5.1,4200,56.5
"5908","tt0051381","Attack of the Puppet People","1958","79","Horror,Sci-Fi",4.7,1809,45
"5910","tt0051383","Auntie Mame","1958","143","Comedy,Drama,Romance",8,9466,41.5
"5912","tt0051390","Cairo Station","1958","77","Comedy,Crime,Drama",7.8,2585,35
"5914","tt0051393","The Badlanders","1958","85","Romance,Western",6.5,1038,43
"5916","tt0051398","The Barbarian and the Geisha","1958","105","Adventure,Drama,History",5.6,1629,55.3333333333333
"5919","tt0051404","Le Beau Serge","1958","98","Drama",7.2,2605,26.5
"5921","tt0051406","Bell Book and Candle","1958","106","Comedy,Fantasy,Romance",6.9,8611,40.6666666666667
"5924","tt0051411","The Big Country","1958","166","Romance,Western",7.9,13940,38.5
"5926","tt0051413","The H-Man","1958","87","Crime,Horror,Sci-Fi",6.1,1026,35.3333333333333
"5929","tt0051418","The Blob","1958","86","Horror,Sci-Fi",6.4,20256,46
"5932","tt0051429","Bonjour Tristesse","1958","94","Drama,Romance",6.9,3938,48
"5933","tt0051432","The Brain Eaters","1958","61","Horror,Sci-Fi",4.1,1030,40.3333333333333
"5936","tt0051433","The Bravados","1958","98","Drama,Western",7,4152,33.3333333333333
"5939","tt0051435","The Brothers Karamazov","1958","145","Drama,Romance",6.8,2265,42.5
"5941","tt0051436","The Buccaneer","1958","119","Adventure,Drama,History",6.6,2055,48.5
"5943","tt0051437","Buchanan Rides Alone","1958","80","Drama,Western",6.9,1953,48.25
"5947","tt0051452","Carry on Nurse","1959","86","Comedy,Romance",6.3,2223,37
"5949","tt0051453","Carry On Sergeant","1958","84","Comedy,War",6.3,2031,42
"5952","tt0051454","Carve Her Name with Pride","1958","119","Biography,Drama,War",7.3,1445,49.5
"5954","tt0051459","Cat on a Hot Tin Roof","1958","108","Drama",8.1,40337,43.3333333333333
"5957","tt0051496","Cowboy","1958","92","Western",6.8,2306,44
"5960","tt0051516","Damn Yankees","1958","111","Comedy,Musical,Romance",7.2,2191,45.6666666666667
"5963","tt0051519","Darby's Rangers","1958","121","Action,Drama,War",6.5,1049,31
"5966","tt0051525","The Defiant Ones","1958","96","Crime,Drama",7.7,11873,35.5
"5970","tt0051534","Desire Under the Elms","1958","111","Drama,Romance",6.6,1025,38.3333333333333
"5973","tt0051542","Corridors of Blood","1958","86","Crime,Horror,Thriller",6.5,1503,62.3333333333333
"5976","tt0051554","Horror of Dracula","1958","82","Horror",7.4,18633,41
"5979","tt0051565","Dunkirk","1958","135","Action,Drama,History",7,2203,43
"5983","tt0051569","Lake of the Dead","1958","76","Horror,Mystery,Thriller",7.2,1562,37.6666666666667
"5986","tt0051570","The Spider","1958","73","Horror,Sci-Fi",4.1,2165,38.6666666666667
"5989","tt0051579","Love Is My Profession","1958","105","Crime,Drama,Romance",6.9,1069,54
"5990","tt0051588","It Happened in Broad Daylight","1958","100","Crime,Drama,Thriller",7.8,3966,53.75
"5994","tt0051622","The Fly","1958","94","Drama,Horror,Sci-Fi",7.1,18872,48.6666666666667
"5997","tt0051638","From the Earth to the Moon","1958","101","Adventure,Fantasy,Sci-Fi",5.1,1295,45
"6000","tt0051649","The Geisha Boy","1958","98","Comedy",6.5,1639,52.3333333333333
"6003","tt0051658","Gigi","1958","115","Comedy,Musical,Romance",6.8,17745,53.5
"6005","tt0051666","God's Little Acre","1958","118","Comedy,Drama,Romance",6.7,1528,38.3333333333333
"6008","tt0051690","Gunman's Walk","1958","97","Western",7,1056,33
"6011","tt0051693","H-8...","1958","105","Drama",8.5,1061,27.3333333333333
"6014","tt0051706","The Haunted Strangler","1958","78","Crime,Horror,Mystery",6.3,1063,56.5
"6016","tt0051713","Hell Drivers","1957","108","Crime,Drama,Thriller",7.2,2456,32.6666666666667
"6019","tt0051720","Equinox Flower","1958","118","Comedy,Drama",8,3172,49
"6020","tt0051739","The Horse's Mouth","1958","97","Comedy",7.6,3018,36.5
"6022","tt0051744","House on Haunted Hill","1959","75","Horror,Mystery",6.9,20246,43.3333333333333
"6025","tt0051745","Houseboat","1958","110","Comedy,Drama,Family",6.7,6819,43.5
"6027","tt0051750","The Hunters","1958","108","Action,Drama,Romance",6.5,1220,35.3333333333333
"6030","tt0051755","I Bury the Living","1958","77","Horror",6.3,2208,46.6666666666667
"6033","tt0051756","I Married a Monster from Outer Space","1958","78","Horror,Sci-Fi",6.4,2210,27
"6037","tt0051758","I Want to Live!","1958","120","Biography,Crime,Drama",7.5,5231,38.5
"6039","tt0051759","Hell, Heaven or Hoboken","1958","101","Drama,History,War",7,1006,47.3333333333333
"6042","tt0051773","Indiscreet","1958","100","Comedy,Romance",6.8,6882,57.5
"6044","tt0051776","The Inn of the Sixth Happiness","1958","158","Biography,Drama,War",7.3,4152,41.3333333333333
"6047","tt0051786","It! The Terror from Beyond Space","1958","69","Horror,Sci-Fi,Thriller",6.1,4057,38
"6049","tt0051790","Ivan the Terrible, Part II","1958","88","Biography,History",7.7,6108,52.3333333333333
"6052","tt0051792","The Music Room","1958","100","Drama,Music",8.1,4464,49.3333333333333
"6055","tt0051808","The Hidden Fortress","1958","139","Adventure,Drama",8.1,29719,44
"6058","tt0051816","The Key","1958","134","Drama,Romance,War",6.7,1145,48.3333333333333
"6061","tt0051818","King Creole","1958","116","Crime,Drama,Musical",7,3982,30.5
"6063","tt0051819","Kings Go Forth","1958","109","Action,Drama,Romance",6.6,1236,38
"6065","tt0051845","The Last Hurrah","1958","121","Comedy,Drama",7.4,2629,49.6666666666667
"6068","tt0051848","The Law and Jake Wade","1958","86","Drama,Romance,Western",6.8,1870,46
"6071","tt0051849","The Left Handed Gun","1958","102","Western",6.5,3494,39
"6074","tt0051866","The Lineup","1958","86","Crime,Drama,Film-Noir",7.4,2266,42
"6078","tt0051878","The Long, Hot Summer","1958","115","Drama",7.5,8950,35.3333333333333
"6081","tt0051879","Look Back in Anger","1959","98","Drama",7.2,2954,34
"6082","tt0051887","Machine-Gun Kelly","1958","80","Action,Biography,Crime",6.3,1082,39.6666666666667
"6085","tt0051899","Man of the West","1958","100","Drama,Romance,Western",7.2,5887,51.3333333333333
"6088","tt0051927","We Only Live Once","1958","111","Comedy,Drama,Romance",8.3,1298,48.3333333333333
"6094","tt0051948","Monster on the Campus","1958","77","Horror,Sci-Fi",5.8,1369,34
"6097","tt0051959","Murder by Contract","1958","81","Crime,Drama,Film-Noir",7.4,2005,34.3333333333333
"6100","tt0051978","The Naked and the Dead","1958","131","Drama,War",6.5,1080,43
"6103","tt0051980","The Ballad of Narayama","1958","98","Drama",8,2361,32
"6104","tt0051983","Nazarin","1959","94","Drama",8,4555,33.5
"6106","tt0051989","Neither Seen Nor Recognized","1958","95","Comedy",7.3,1246,49
"6109","tt0051993","Night of the Blood Beast","1958","62","Horror,Sci-Fi",3.1,1590,32.3333333333333
"6112","tt0051994","A Night to Remember","1958","123","Biography,Drama,History",7.9,12350,38.6666666666667
"6115","tt0052002","No Name on the Bullet","1959","77","Western",7.3,1750,38.5
"6117","tt0052005","No Time for Sergeants","1958","119","Comedy,War",7.7,3381,36
"6121","tt0052027","The Old Man and the Sea","1958","86","Adventure,Drama",7,6447,40.5
"6125","tt0052050","Party Girl","1958","99","Crime,Drama,Film-Noir",7.1,2479,46
"6128","tt0052077","Plan 9 from Outer Space","1959","79","Horror,Sci-Fi",4,33708,42.8571428571429
"6135","tt0052080","Ashes and Diamonds","1958","103","Drama,Romance,War",7.9,9225,40.6666666666667
"6138","tt0052097","The Proud Rebel","1958","103","Western",7,1158,37
"6141","tt0052104","Queen of Outer Space","1958","80","Adventure,Fantasy,Sci-Fi",4.6,1700,41
"6143","tt0052106","The Quiet American","1958","120","Drama,Romance,Thriller",6.7,1505,46.3333333333333
"6146","tt0052117","Rally 'Round the Flag, Boys!","1958","106","Comedy",6,1025,40.5
"6148","tt0052126","The Reluctant Debutante","1958","94","Comedy,Romance",6.9,1159,36.5
"6150","tt0052131","The Return of Dracula","1958","77","Drama,Horror,Mystery",5.7,1041,50
"6153","tt0052141","Rock-a-Bye Baby","1958","103","Comedy",6.8,1549,43.5
"6155","tt0052151","Run Silent Run Deep","1958","93","Action,Drama,War",7.4,9236,45.25
"6159","tt0052156","The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent","1957","66","Action,Adventure,Fantasy",2.9,1089,29
"6160","tt0052169","The Screaming Skull","1958","68","Horror,Thriller",3.5,2768,42
"6162","tt0052182","Separate Tables","1958","100","Drama,Romance",7.5,5942,46.5
"6164","tt0052190","The Sheepman","1958","85","Western",6.9,2106,37.3333333333333
"6167","tt0052216","Big Deal on Madonna Street","1958","106","Comedy,Crime",8,8145,38.75
"6171","tt0052218","Some Came Running","1958","137","Drama,Romance",7.4,5139,42
"6173","tt0052225","South Pacific","1958","157","Musical,Romance,War",6.9,7351,37.6666666666667
"6176","tt0052227","The Space Children","1958","69","Sci-Fi",3.7,1044,21.3333333333333
"6179","tt0052233","The Square Peg","1958","85","Comedy,War",7.2,1173,49.6666666666667
"6182","tt0052270","A Tale of Two Cities","1958","117","Drama,History,Romance",7.2,1212,48
"6185","tt0052278","Teacher's Pet","1958","120","Comedy,Romance",7.1,3774,51
"6187","tt0052279","Teenage Cave Man","1958","65","Adventure,Sci-Fi",3.1,1209,41.6666666666667
"6190","tt0052286","Terror from the Year 5000","1958","66","Sci-Fi",2.6,1146,40.5
"6192","tt0052287","Terror in a Texas Town","1958","80","Drama,Western",6.8,1541,30.6666666666667
"6195","tt0052289","The Thing That Couldn't Die","1958","69","Horror",3.4,1235,29.5
"6197","tt0052293","Thunder Road","1958","92","Crime,Drama,Film-Noir",6.7,2816,38
"6200","tt0052295","Der Tiger von Eschnapur","1959","101","Adventure,Drama,Romance",6.7,2104,40
"6203","tt0052296","A Time to Love and a Time to Die","1958","132","Drama,Romance,War",7.7,2541,37
"6206","tt0052303","Torpedo Run","1958","98","Drama,War",6.4,1652,36.6666666666667
"6209","tt0052311","Touch of Evil","1958","95","Crime,Drama,Film-Noir",8,92762,46.3333333333333
"6212","tt0052320","The Crawling Eye","1958","84","Horror,Sci-Fi",4.9,3036,39
"6214","tt0052325","The Tunnel of Love","1958","98","Comedy,Romance",6,1002,44.5
"6216","tt0052357","Vertigo","1958","128","Mystery,Romance,Thriller",8.3,320384,52
"6218","tt0052365","The Vikings","1958","116","Action,Adventure",7.1,11317,38.6666666666667
"6221","tt0052374","The Deadly Invention","1958","78","Adventure,Animation,Fantasy",7.5,1528,43.5
"6225","tt0052378","War of the Colossal Beast","1958","69","Horror,Sci-Fi",3.4,1623,34.3333333333333
"6228","tt0052415","The Young Lions","1958","167","Action,Drama,War",7.3,6661,37.6666666666667
"6231","tt0052427","Tom Thumb","1958","98","Family,Fantasy,Musical",6.5,2070,32
"6234","tt0052530","4D Man","1959","85","Action,Horror,Romance",5.9,1334,35.6666666666667
"6237","tt0052543","Al Capone","1959","104","Biography,Crime,Drama",6.8,1276,40.6666666666667
"6240","tt0052545","Alias Jesse James","1959","92","Comedy,Romance,Western",6.6,1087,50.5
"6242","tt0052549","The Alligator People","1959","74","Horror,Mystery,Sci-Fi",5.5,1560,55.3333333333333
"6245","tt0052556","The Lovers","1958","90","Drama,Romance",7.3,4251,37
"6247","tt0052561","Anatomy of a Murder","1959","160","Crime,Drama,Mystery",8,53902,43.6666666666667
"6250","tt0052564","The Angry Red Planet","1959","83","Adventure,Sci-Fi",5.3,2568,42.6666666666667
"6253","tt0052572","The World of Apu","1959","105","Drama",8.3,9804,24
"6254","tt0052587","The Atomic Submarine","1959","72","Sci-Fi,Thriller",5.2,1151,42.25
"6258","tt0052600","Ballad of a Soldier","1959","88","Drama,Romance,War",8.1,8630,34
"6260","tt0052602","The Bat","1959","80","Horror,Mystery,Thriller",6.1,3627,52.3333333333333
"6263","tt0052607","The Battle of the Sexes","1960","84","Comedy",6.8,1039,46.6666666666667
"6266","tt0052609","Beast from Haunted Cave","1959","72","Crime,Horror,Thriller",4.2,1341,33
"6269","tt0052611","The Giant Behemoth","1959","80","Action,Adventure,Drama",5.8,1950,38
"6272","tt0052618","Ben-Hur","1959","212","Adventure,Drama,History",8.1,201358,37.6666666666667
"6275","tt0052619","The Best of Everything","1959","121","Drama,Romance",6.5,1565,28
"6276","tt0052644","Le Bossu","1959","105","Action,Adventure",6.9,1007,41
"6279","tt0052646","The Brain That Wouldn't Die","1962","82","Horror,Sci-Fi",4.2,5579,42
"6281","tt0052654","The Bridge","1959","103","Drama,War",7.8,6343,19
"6285","tt0052655","A Bucket of Blood","1959","66","Comedy,Crime,Horror",6.8,5149,30.6666666666667
"6288","tt0052667","Caltiki, the Immortal Monster","1959","77","Adventure,Horror,Sci-Fi",6,1005,38.3333333333333
"6291","tt0052676","Carry on Teacher","1959","86","Comedy",6.3,1822,38.5
"6295","tt0052680","Cash McCall","1960","102","Drama,Romance",6.5,1003,44.5
"6297","tt0052698","Classe Tous Risques","1960","110","Crime,Drama,Romance",7.5,2725,42.6666666666667
"6300","tt0052700","Compulsion","1959","103","Biography,Crime,Drama",7.5,5270,32
"6303","tt0052708","Les Cousins","1959","112","Drama",7.4,2227,34.6666666666667
"6306","tt0052713","The Crimson Kimono","1959","82","Crime,Drama,Mystery",6.9,1718,28
"6308","tt0052722","Darby O'Gill and the Little People","1959","93","Adventure,Family,Fantasy",7.2,6203,54.3333333333333
"6311","tt0052724","Day of the Outlaw","1959","92","Western",7.3,2469,50
"6314","tt0052733","Two Men in Manhattan","1959","84","Crime,Drama,Thriller",6.8,1307,38
"6315","tt0052735","The Devil's Disciple","1959","83","Comedy,History,Romance",7.3,1878,47
"6318","tt0052738","The Diary of Anne Frank","1959","180","Biography,Drama,Family",7.4,11020,42
"6320","tt0052782","Ercole e la regina di Lidia","1959","98","Adventure,Fantasy",4.4,1753,27
"6322","tt0052786","Violent Summer","1959","98","Drama,Romance,War",7.6,1050,26
"6324","tt0052792","The FBI Story","1959","149","Crime,Drama,History",6.6,2711,39.3333333333333
"6327","tt0052805","First Man Into Space","1959","77","Drama,Horror,Sci-Fi",5.5,1027,35
"6330","tt0052809","The Five Pennies","1959","117","Biography,Drama,Music",7.3,1477,46.6666666666667
"6333","tt0052811","The Flesh and the Fiends","1960","94","Crime,Drama,Horror",7.1,1327,42.6666666666667
"6336","tt0052832","The Fugitive Kind","1960","119","Drama,Romance",7.2,4808,36
"6337","tt0052837","The Gazebo","1959","100","Comedy,Crime,Thriller",6.9,1479,42
"6340","tt0052846","The Giant Gila Monster","1959","74","Horror,Sci-Fi,Thriller",3.4,3176,44.3333333333333
"6343","tt0052847","Gidget","1959","95","Comedy",6.7,2762,36.6666666666667
"6346","tt0052861","The Great War","1959","137","Comedy,Drama,War",8.3,3282,41.5
"6350","tt0052862","The St. Louis Bank Robbery","1959","89","Crime,Drama,Thriller",5.9,1081,39.75
"6354","tt0052864","Green Mansions","1959","104","Adventure,Drama,Romance",5.6,1903,48.3333333333333
"6357","tt0052876","The Hanging Tree","1959","107","Western",7.2,3231,45.6666666666667
"6360","tt0052888","The Hideous Sun Demon","1958","74","Horror,Sci-Fi",3.9,1012,44.5
"6362","tt0052893","Hiroshima Mon Amour","1959","90","Drama,Romance",8,24802,43.5
"6364","tt0052896","A Hole in the Head","1959","120","Comedy,Drama",6.3,2128,55
"6366","tt0052902","The Horse Soldiers","1959","120","Adventure,Romance,War",7.2,8428,45.3333333333333
"6369","tt0052905","The Hound of the Baskervilles","1959","87","Horror,Mystery",7,8259,44.3333333333333
"6372","tt0052911","I'm All Right Jack","1959","105","Comedy",7.3,3219,39.25
"6376","tt0052918","Imitation of Life","1959","125","Drama",7.9,13330,28
"6377","tt0052924","The Indian Tomb","1959","102","Adventure,Romance",6.8,1916,40
"6380","tt0052929","Invisible Invaders","1959","67","Horror,Sci-Fi",5,1330,48
"6384","tt0052933","It Happened to Jane","1959","97","Comedy",6.6,2128,36
"6387","tt0052948","Journey to the Center of the Earth","1959","132","Adventure,Family,Fantasy",7.1,13958,37.5
"6389","tt0052950","The Journey","1959","126","Drama,Romance,War",7,1285,42.3333333333333
"6392","tt0052954","Kaagaz Ke Phool","1959","148","Musical,Romance",8.1,1757,33.5
"6394","tt0052961","Kapò","1960","117","Drama,War",7.7,1686,25
"6395","tt0052969","The Killer Shrews","1959","69","Horror,Sci-Fi",3.9,4028,38
"6398","tt0052993","Last Train from Gun Hill","1959","95","Romance,Western",7.4,5765,39.3333333333333
"6401","tt0052997","The League of Gentlemen","1960","116","Comedy,Crime,Thriller",7.5,3308,47.25
"6405","tt0053001","Li'l Abner","1959","114","Comedy,Family,Musical",6.8,1177,41
"6408","tt0053002","Les liaisons dangereuses","1959","106","Drama,Romance",6.9,1098,37
"6409","tt0053041","The Man Who Could Cheat Death","1959","83","Drama,Horror,Sci-Fi",6.4,1309,50.6666666666667
"6412","tt0053054","The Mating Game","1959","96","Comedy,Romance",7,1230,45.3333333333333
"6415","tt0053084","The Mouse That Roared","1959","83","Comedy",7,7547,41.6666666666667
"6418","tt0053085","The Mummy","1959","86","Adventure,Horror",6.8,7037,43.6666666666667
"6421","tt0053106","Letter Never Sent","1960","96","Adventure,Drama",7.9,2622,29.3333333333333
"6424","tt0053108","Never So Few","1959","125","Drama,War",5.9,2632,36.3333333333333
"6427","tt0053114","The Human Condition I: No Greater Love","1959","208","Drama,War",8.6,5103,27
"6428","tt0053115","The Human Condition II: Road to Eternity","1959","181","Drama,History,War",8.5,4012,34
"6431","tt0053121","Fires on the Plain","1959","108","Drama,War",8,3923,43
"6435","tt0053125","North by Northwest","1959","136","Adventure,Mystery,Thriller",8.3,271904,52.5
"6437","tt0053126","North West Frontier","1959","129","Adventure,Drama",7.2,1964,47.6666666666667
"6440","tt0053131","The Nun's Story","1959","149","Drama",7.6,8484,43
"6441","tt0053133","Odds Against Tomorrow","1959","96","Crime,Drama,Thriller",7.4,3163,41
"6443","tt0053134","Good Morning","1959","94","Comedy,Drama,Family",7.9,6409,44
"6445","tt0053137","On the Beach","1959","134","Drama,Romance,Sci-Fi",7.2,10911,43.3333333333333
"6448","tt0053143","Operation Petticoat","1959","124","Comedy,Romance,War",7.3,11199,44.5
"6450","tt0053146","Black Orpheus","1959","100","Drama,Fantasy,Music",7.5,8669,28
"6451","tt0053168","Pickpocket","1959","76","Crime,Drama",7.8,17014,31.5
"6453","tt0053172","Pillow Talk","1959","102","Comedy,Romance",7.5,13921,36.5
"6455","tt0053176","Night Train","1959","99","Drama,Mystery,Thriller",7.8,2276,34
"6457","tt0053182","Porgy and Bess","1959","138","Drama,Musical,Romance",7.3,1377,33
"6459","tt0053183","Pork Chop Hill","1959","97","Action,Drama,War",7.1,3883,34
"6463","tt0053198","The 400 Blows","1959","99","Crime,Drama",8.1,92198,36
"6466","tt0053219","Return of the Fly","1959","80","Drama,Fantasy,Horror",5.8,3824,39.5
"6470","tt0053220","Ride Lonesome","1959","73","Drama,Western",7.2,3928,41.6666666666667
"6473","tt0053221","Rio Bravo","1959","141","Action,Drama,Western",8,50891,37.6666666666667
"6476","tt0053226","Room at the Top","1959","117","Drama,Romance",7.6,4515,44
"6478","tt0053241","Santa Claus","1959","94","Comedy,Family,Fantasy",2.6,4279,52.5
"6480","tt0053242","Sapphire","1959","92","Crime,Drama,Mystery",7.2,1106,34.6666666666667
"6483","tt0053244","The Savage Innocents","1960","110","Adventure,Crime,Drama",7.1,1527,36.6666666666667
"6486","tt0053247","The Scapegoat","1959","91","Crime,Mystery,Thriller",7.1,1466,45
"6487","tt0053250","First Spaceship on Venus","1960","93","Sci-Fi",4.4,2322,45.5
"6489","tt0053258","There Will Be No Leave Today","1959","45","Drama,Thriller",6.6,1175,38.75
"6493","tt0053270","Shadows","1958","81","Drama,Romance",7.4,9011,25.3333333333333
"6496","tt0053271","The Shaggy Dog","1959","104","Comedy,Family,Fantasy",6.5,3824,34.5
"6498","tt0053272","Shake Hands with the Devil","1959","111","Action,Drama,History",7.1,1038,45
"6500","tt0053279","Le signe du lion","1962","103","Drama",7.4,1475,37
"6503","tt0053285","Sleeping Beauty","1959","75","Animation,Family,Fantasy",7.3,122431,38
"6504","tt0053290","Solomon and Sheba","1959","141","Drama,History,Romance",6.2,2630,46
"6506","tt0053291","Some Like It Hot","1959","121","Comedy,Music,Romance",8.2,220586,42
"6509","tt0053317","Fate of a Man","1959","103","Drama,War",8.1,2373,35.6666666666667
"6512","tt0053318","Suddenly, Last Summer","1959","114","Drama,Mystery,Thriller",7.6,12561,46.5
"6514","tt0053320","A Summer Place","1959","130","Drama,Romance",7,2550,41.5
"6516","tt0053334","Tarzan's Greatest Adventure","1959","88","Action,Adventure",6.6,1032,41.6666666666667
"6519","tt0053337","Teenagers from Outer Space","1959","86","Sci-Fi,Thriller",3.6,2839,37
"6523","tt0053351","They Came to Cordura","1959","123","Adventure,Drama,History",6.5,1697,45.6666666666667
"6526","tt0053354","The 39 Steps","1959","93","Comedy,Crime,Drama",6.6,1624,55.5
"6528","tt0053361","Tiger Bay","1959","105","Crime,Drama,Thriller",7.6,2038,38.5
"6530","tt0053363","The Tingler","1959","82","Horror",6.7,6354,38
"6532","tt0053390","Floating Weeds","1959","119","Drama",8,6266,57
"6533","tt0053399","Up Periscope","1959","112","Action,Drama,Romance",6.5,1401,37.6666666666667
"6536","tt0053403","The Cow and I","1959","118","Comedy",7.2,1203,49
"6538","tt0053434","Warlock","1959","122","Western",7.3,4765,47.6666666666667
"6541","tt0053453","The Wonderful Country","1959","98","Romance,Western",6.2,1295,46.6666666666667
"6544","tt0053454","The World, The Flesh and The Devil","1959","95","Drama,Romance,Sci-Fi",6.9,2235,37
"6546","tt0053455","The Wreck of the Mary Deare","1959","105","Adventure,Crime,Drama",6.8,2071,49.75
"6550","tt0053459","Eyes Without a Face","1960","90","Drama,Horror",7.7,22571,57
"6552","tt0053462","The Young Philadelphians","1959","136","Drama",7.4,2886,36
"6554","tt0053464","Prince of Space","1959","121","Action,Adventure,Sci-Fi",2.2,2649,31
"6556","tt0053472","Breathless","1960","90","Crime,Drama",7.9,64501,31.6666666666667
"6559","tt0053473","Leda","1959","110","Crime,Drama",6.8,1017,31
"6561","tt0053559","13 Ghosts","1960","85","Horror",6.1,4611,20.5
"6563","tt0053571","The Adventures of Huckleberry Finn","1960","107","Adventure,Comedy,Drama",6.3,1216,33.3333333333333
"6566","tt0053579","Late Autumn","1960","128","Comedy,Drama",8.2,3782,34
"6567","tt0053580","The Alamo","1960","162","Adventure,Drama,History",6.9,13135,38
"6571","tt0053593","The Amazing Transparent Man","1960","58","Sci-Fi",3.8,1927,50.3333333333333
"6574","tt0053602","The Angry Silence","1960","95","Drama",7.7,1047,40
"6577","tt0053604","The Apartment","1960","125","Comedy,Drama,Romance",8.3,143946,44.3333333333333
"6580","tt0053611","Attack of the Giant Leeches","1959","62","Horror,Sci-Fi",3.6,3527,32.5
"6582","tt0053619","L'Avventura","1960","144","Drama,Mystery",7.9,22902,35
"6583","tt0053622","BUtterfield 8","1960","109","Drama",6.4,5142,32
"6585","tt0053643","Bell' Antonio","1960","105","Comedy,Drama",7.4,1126,45.5
"6587","tt0053644","The Bellboy","1960","72","Comedy",6.5,3469,38.5
"6591","tt0053645","Bells Are Ringing","1960","126","Comedy,Musical,Romance",7.1,2563,48
"6594","tt0053677","The Brides of Dracula","1960","85","Horror",6.8,5924,47
"6595","tt0053690","Can-Can","1960","131","Comedy,Musical",6.4,1826,52
"6598","tt0053699","Carry On Constable","1960","86","Comedy",6.3,1909,42.75
"6602","tt0053715","Cimarron","1960","147","Drama,Romance,Western",6.4,2349,48
"6604","tt0053716","Cinderfella","1960","91","Comedy,Family,Fantasy",6,2719,46.6666666666667
"6607","tt0053717","Circus of Horrors","1960","92","Drama,Horror",6.2,1311,42.5
"6609","tt0053719","The City of the Dead","1960","78","Horror,Mystery,Thriller",6.8,5149,36.5
"6611","tt0053729","Comanche Station","1960","73","Drama,Western",7.1,2754,38.6
"6616","tt0053740","Concrete Jungle","1960","97","Crime,Drama,Thriller",7,1042,41.6666666666667
"6619","tt0053765","The Goddess","1960","93","Drama",7.9,1624,42.5
"6621","tt0053768","Dinosaurus!","1960","83","Adventure,Comedy,Fantasy",5.1,1046,27.3333333333333
"6624","tt0053772","The Devil's Eye","1960","87","Comedy,Drama,Fantasy",7.2,3069,45
"6627","tt0053779","La Dolce Vita","1960","174","Comedy,Drama",8.1,58929,36
"6628","tt0053793","Elmer Gantry","1960","146","Drama",7.8,9263,50
"6631","tt0053796","The Entertainer","1960","96","Drama",7.2,2624,53.5
"6633","tt0053804","Exodus","1960","208","Action,Drama,History",6.8,8141,43.3333333333333
"6636","tt0053810","The Facts of Life","1960","103","Comedy,Drama,Romance",6.6,1084,52
"6638","tt0053825","Flaming Star","1960","101","Western",6.6,2713,30
"6640","tt0053841","From the Terrace","1960","149","Drama,Romance",6.7,2259,35
"6641","tt0053848","G.I. Blues","1960","104","Comedy,Musical",6.2,2908,27.3333333333333
"6644","tt0053849","The Gallant Hours","1960","115","Biography,Drama,War",7.2,1206,46.75
"6648","tt0053856","Il Generale Della Rovere","1959","132","Drama,War",7.9,2462,46.5
"6650","tt0053877","The Grass Is Greener","1960","104","Comedy,Drama,Romance",6.6,4080,49.5
"6652","tt0053879","The Great Impostor","1960","113","Comedy,Drama",7.1,1013,45
